"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1","TC7 - Verify Test Cases page","chromium","Wed Apr 08 18:57:30 UTC 2026","skipped","Wed Apr 08 18:57:30 UTC 2026","Login tests","ui/tests/verifyPages.spec.ts","",""
"","738","get started link","chromium","Wed Apr 08 18:57:10 UTC 2026","passed","Wed Apr 08 18:57:10 UTC 2026","","api/tests/example.spec.ts","",""
"","962","Test Case 26: Verify Scroll Up without 'Arrow' button and Scroll Down functionality","chromium","Wed Apr 08 18:57:16 UTC 2026","passed","Wed Apr 08 18:57:17 UTC 2026","Home Page Tests.","ui/tests/home.spec.ts","",""
"","3185","TC8 - Verify All products and product details page","chromium","Wed Apr 08 18:57:30 UTC 2026","passed","Wed Apr 08 18:57:33 UTC 2026","Login tests","ui/tests/verifyPages.spec.ts","",""
"","2038","Test Case 25: Verify Scroll Up using 'Arrow' button and Scroll Down functionality:","chromium","Wed Apr 08 18:57:14 UTC 2026","passed","Wed Apr 08 18:57:16 UTC 2026","Home Page Tests.","ui/tests/home.spec.ts","",""
"","1817","Test Case 13: Verify Product quantity in Cart","chromium","Wed Apr 08 18:57:12 UTC 2026","passed","Wed Apr 08 18:57:14 UTC 2026","E2E Tests","ui/tests/E2E.spec.ts","",""
"","1582","Test Case 3: Login User with incorrect email and password:","chromium","Wed Apr 08 18:57:21 UTC 2026","passed","Wed Apr 08 18:57:22 UTC 2026","","ui/tests/loging.spec.ts","",""
"","598","has title","chromium","Wed Apr 08 18:57:08 UTC 2026","passed","Wed Apr 08 18:57:09 UTC 2026","","api/tests/example.spec.ts","",""
"","6251","seed using loginPage fixture","chromium","Wed Apr 08 18:57:22 UTC 2026","passed","Wed Apr 08 18:57:28 UTC 2026","seed for logged in user","ui/tests/seed.spec.ts","",""
"","1808","Test Case 17: Remove Products From Cart","chromium","Wed Apr 08 18:57:10 UTC 2026","passed","Wed Apr 08 18:57:12 UTC 2026","Cart Test Cases","ui/tests/cart.spec.ts","",""
"","3415","should log out successfully","chromium","Wed Apr 08 18:57:17 UTC 2026","passed","Wed Apr 08 18:57:20 UTC 2026","Login Page Tests","ui/tests/loging.spec.ts","",""
"","1564","Test Case 5: Register User with existing email:","chromium","Wed Apr 08 18:57:28 UTC 2026","passed","Wed Apr 08 18:57:30 UTC 2026","","ui/tests/signup.spec.ts","",""
"","0","should submit the contact form successfully","chromium","Wed Apr 08 18:57:12 UTC 2026","skipped","Wed Apr 08 18:57:12 UTC 2026","Contact Us form tests","ui/tests/contactForm.spec.ts","",""
