"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","7321","Test Case 14: Place Order: Register while Checkout","chromium","Thu Apr 16 19:40:49 UTC 2026","passed","Thu Apr 16 19:40:57 UTC 2026","E2E Tests","ui/tests/E2E.spec.ts","",""
"","3406","seed using loginPage fixture","chromium","Thu Apr 16 19:41:09 UTC 2026","passed","Thu Apr 16 19:41:13 UTC 2026","seed for logged in user","ui/tests/seed.spec.ts","",""
"","632","has title","chromium","Thu Apr 16 19:40:44 UTC 2026","passed","Thu Apr 16 19:40:45 UTC 2026","","api/tests/example.spec.ts","",""
"","1465","Test Case 17: Remove Products From Cart","chromium","Thu Apr 16 19:40:46 UTC 2026","passed","Thu Apr 16 19:40:48 UTC 2026","Cart Test Cases","ui/tests/cart.spec.ts","",""
"","2025","Test Case 25: Verify Scroll Up using 'Arrow' button and Scroll Down functionality:","chromium","Thu Apr 16 19:40:57 UTC 2026","passed","Thu Apr 16 19:40:59 UTC 2026","Home Page Tests.","ui/tests/home.spec.ts","",""
"","1","should submit the contact form successfully","chromium","Thu Apr 16 19:40:48 UTC 2026","skipped","Thu Apr 16 19:40:48 UTC 2026","Contact Us form tests","ui/tests/contactForm.spec.ts","",""
"","1505","Test Case 5: Register User with existing email:","chromium","Thu Apr 16 19:41:13 UTC 2026","passed","Thu Apr 16 19:41:14 UTC 2026","","ui/tests/signup.spec.ts","",""
"","741","Test Case 26: Verify Scroll Up without 'Arrow' button and Scroll Down functionality","chromium","Thu Apr 16 19:40:59 UTC 2026","passed","Thu Apr 16 19:40:59 UTC 2026","Home Page Tests.","ui/tests/home.spec.ts","",""
"","765","get started link","chromium","Thu Apr 16 19:40:45 UTC 2026","passed","Thu Apr 16 19:40:46 UTC 2026","","api/tests/example.spec.ts","",""
"","1554","Test Case 3: Login User with incorrect email and password:","chromium","Thu Apr 16 19:41:08 UTC 2026","passed","Thu Apr 16 19:41:09 UTC 2026","","ui/tests/loging.spec.ts","",""
"","1718","Test Case 13: Verify Product quantity in Cart","chromium","Thu Apr 16 19:40:48 UTC 2026","passed","Thu Apr 16 19:40:49 UTC 2026","E2E Tests","ui/tests/E2E.spec.ts","",""
"","2590","TC8 - Verify All products and product details page","chromium","Thu Apr 16 19:41:14 UTC 2026","passed","Thu Apr 16 19:41:17 UTC 2026","Login tests","ui/tests/verifyPages.spec.ts","",""
"","3898","should log out successfully","chromium","Thu Apr 16 19:41:03 UTC 2026","passed","Thu Apr 16 19:41:07 UTC 2026","Login Page Tests","ui/tests/loging.spec.ts","",""
"","0","TC7 - Verify Test Cases page","chromium","Thu Apr 16 19:41:14 UTC 2026","skipped","Thu Apr 16 19:41:14 UTC 2026","Login tests","ui/tests/verifyPages.spec.ts","",""
