"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1978","seed using loginPage fixture","chromium","Thu Apr 02 20:05:54 UTC 2026","passed","Thu Apr 02 20:05:56 UTC 2026","seed for logged in user","ui/tests/seed.spec.ts","",""
"","688","has title","chromium","Thu Apr 02 20:05:46 UTC 2026","passed","Thu Apr 02 20:05:47 UTC 2026","","api/tests/example.spec.ts","",""
"","1480","Test Case 13: Verify Product quantity in Cart","chromium","Thu Apr 02 20:05:50 UTC 2026","passed","Thu Apr 02 20:05:51 UTC 2026","E2E Tests","ui/tests/E2E.spec.ts","",""
"","0","should submit the contact form successfully","chromium","Thu Apr 02 20:05:50 UTC 2026","skipped","Thu Apr 02 20:05:50 UTC 2026","Contact Us form tests","ui/tests/contactForm.spec.ts","",""
"","1533","Test Case 17: Remove Products From Cart","chromium","Thu Apr 02 20:05:48 UTC 2026","passed","Thu Apr 02 20:05:50 UTC 2026","Cart Test Cases","ui/tests/cart.spec.ts","",""
"","1860","should log out successfully","chromium","Thu Apr 02 20:05:51 UTC 2026","passed","Thu Apr 02 20:05:53 UTC 2026","Login Page Tests","ui/tests/loging.spec.ts","",""
"","0","Login tests","chromium","Thu Apr 02 20:05:56 UTC 2026","skipped","Thu Apr 02 20:05:56 UTC 2026","","ui/tests/testCases.spec.ts","",""
"","848","get started link","chromium","Thu Apr 02 20:05:47 UTC 2026","passed","Thu Apr 02 20:05:48 UTC 2026","","api/tests/example.spec.ts","",""
"","777","should not log in with invalid credentials","chromium","Thu Apr 02 20:05:53 UTC 2026","passed","Thu Apr 02 20:05:54 UTC 2026","","ui/tests/loging.spec.ts","",""
