"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1255","Test Case 3: Login User with incorrect email and password:","chromium","Wed May 20 21:34:45 UTC 2026","passed","Wed May 20 21:34:47 UTC 2026","","ui/tests/loging.spec.ts","",""
"","718","has title","chromium","Wed May 20 21:34:21 UTC 2026","passed","Wed May 20 21:34:22 UTC 2026","","api/tests/example.spec.ts","",""
"","0","should submit the contact form successfully","chromium","Wed May 20 21:34:25 UTC 2026","skipped","Wed May 20 21:34:25 UTC 2026","Contact Us form tests","ui/tests/contactForm.spec.ts","",""
"","888","Test Case 26: Verify Scroll Up without 'Arrow' button and Scroll Down functionality","chromium","Wed May 20 21:34:36 UTC 2026","passed","Wed May 20 21:34:37 UTC 2026","Home Page Tests.","ui/tests/home.spec.ts","",""
"","2957","should log out successfully","chromium","Wed May 20 21:34:40 UTC 2026","passed","Wed May 20 21:34:43 UTC 2026","Login Page Tests","ui/tests/loging.spec.ts","",""
"","1387","Test Case 5: Register User with existing email:","chromium","Wed May 20 21:34:50 UTC 2026","passed","Wed May 20 21:34:51 UTC 2026","","ui/tests/signup.spec.ts","",""
"","1830","Test Case 25: Verify Scroll Up using 'Arrow' button and Scroll Down functionality:","chromium","Wed May 20 21:34:34 UTC 2026","passed","Wed May 20 21:34:36 UTC 2026","Home Page Tests.","ui/tests/home.spec.ts","",""
"","2772","seed using loginPage fixture","chromium","Wed May 20 21:34:47 UTC 2026","passed","Wed May 20 21:34:50 UTC 2026","seed for logged in user","ui/tests/seed.spec.ts","",""
"","0","TC7 - Verify Test Cases page","chromium","Wed May 20 21:34:51 UTC 2026","skipped","Wed May 20 21:34:51 UTC 2026","Login tests","ui/tests/verifyPages.spec.ts","",""
"","1493","Test Case 17: Remove Products From Cart","chromium","Wed May 20 21:34:23 UTC 2026","passed","Wed May 20 21:34:25 UTC 2026","Cart Test Cases","ui/tests/cart.spec.ts","",""
"","1621","Test Case 13: Verify Product quantity in Cart","chromium","Wed May 20 21:34:25 UTC 2026","passed","Wed May 20 21:34:26 UTC 2026","E2E Tests","ui/tests/E2E.spec.ts","",""
"","1816","Test Case 2: Login User with correct email and password","chromium","Wed May 20 21:34:44 UTC 2026","passed","Wed May 20 21:34:45 UTC 2026","","ui/tests/loging.spec.ts","",""
"","790","get started link","chromium","Wed May 20 21:34:22 UTC 2026","passed","Wed May 20 21:34:23 UTC 2026","","api/tests/example.spec.ts","",""
"","2190","TC8 - Verify All products and product details page","chromium","Wed May 20 21:34:51 UTC 2026","passed","Wed May 20 21:34:53 UTC 2026","Login tests","ui/tests/verifyPages.spec.ts","",""
"","7777","Test Case 14: Place Order: Register while Checkout","chromium","Wed May 20 21:34:26 UTC 2026","passed","Wed May 20 21:34:34 UTC 2026","E2E Tests","ui/tests/E2E.spec.ts","",""
