"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","693","get started link","chromium","Tue May 19 16:58:52 UTC 2026","passed","Tue May 19 16:58:52 UTC 2026","","api/tests/example.spec.ts","",""
"","0","should submit the contact form successfully","chromium","Tue May 19 16:58:55 UTC 2026","skipped","Tue May 19 16:58:55 UTC 2026","Contact Us form tests","ui/tests/contactForm.spec.ts","",""
"","1638","Test Case 3: Login User with incorrect email and password:","chromium","Tue May 19 16:59:17 UTC 2026","passed","Tue May 19 16:59:18 UTC 2026","","ui/tests/loging.spec.ts","",""
"","3088","seed using loginPage fixture","chromium","Tue May 19 16:59:18 UTC 2026","passed","Tue May 19 16:59:21 UTC 2026","seed for logged in user","ui/tests/seed.spec.ts","",""
"","869","has title","chromium","Tue May 19 16:58:50 UTC 2026","passed","Tue May 19 16:58:51 UTC 2026","","api/tests/example.spec.ts","",""
"","0","TC7 - Verify Test Cases page","chromium","Tue May 19 16:59:24 UTC 2026","skipped","Tue May 19 16:59:24 UTC 2026","Login tests","ui/tests/verifyPages.spec.ts","",""
"","2353","Test Case 17: Remove Products From Cart","chromium","Tue May 19 16:58:52 UTC 2026","passed","Tue May 19 16:58:55 UTC 2026","Cart Test Cases","ui/tests/cart.spec.ts","",""
"","2502","Test Case 5: Register User with existing email:","chromium","Tue May 19 16:59:21 UTC 2026","passed","Tue May 19 16:59:24 UTC 2026","","ui/tests/signup.spec.ts","",""
"","1690","Test Case 13: Verify Product quantity in Cart","chromium","Tue May 19 16:58:55 UTC 2026","passed","Tue May 19 16:58:56 UTC 2026","E2E Tests","ui/tests/E2E.spec.ts","",""
"","778","Test Case 26: Verify Scroll Up without 'Arrow' button and Scroll Down functionality","chromium","Tue May 19 16:59:07 UTC 2026","passed","Tue May 19 16:59:07 UTC 2026","Home Page Tests.","ui/tests/home.spec.ts","",""
"","1792","Test Case 25: Verify Scroll Up using 'Arrow' button and Scroll Down functionality:","chromium","Tue May 19 16:59:05 UTC 2026","passed","Tue May 19 16:59:07 UTC 2026","Home Page Tests.","ui/tests/home.spec.ts","",""
"","2025","TC8 - Verify All products and product details page","chromium","Tue May 19 16:59:24 UTC 2026","passed","Tue May 19 16:59:26 UTC 2026","Login tests","ui/tests/verifyPages.spec.ts","",""
"","3733","should log out successfully","chromium","Tue May 19 16:59:13 UTC 2026","passed","Tue May 19 16:59:16 UTC 2026","Login Page Tests","ui/tests/loging.spec.ts","",""
"","8351","Test Case 14: Place Order: Register while Checkout","chromium","Tue May 19 16:58:56 UTC 2026","passed","Tue May 19 16:59:05 UTC 2026","E2E Tests","ui/tests/E2E.spec.ts","",""
