"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","756","should not log in with invalid credentials","chromium","Mon Mar 30 20:44:57 UTC 2026","passed","Mon Mar 30 20:44:57 UTC 2026","","ui/tests/loging.spec.ts","",""
"","580","has title","chromium","Mon Mar 30 20:44:51 UTC 2026","passed","Mon Mar 30 20:44:52 UTC 2026","","api/tests/example.spec.ts","",""
"","0","should submit the contact form successfully","chromium","Mon Mar 30 20:44:53 UTC 2026","skipped","Mon Mar 30 20:44:53 UTC 2026","Contact Us form tests","ui/tests/contactForm.spec.ts","",""
"","1401","test","chromium","Mon Mar 30 20:44:53 UTC 2026","passed","Mon Mar 30 20:44:54 UTC 2026","Test Case 13: Verify Product quantity in Cart","ui/tests/E2E.spec.ts","",""
"","782","get started link","chromium","Mon Mar 30 20:44:52 UTC 2026","passed","Mon Mar 30 20:44:53 UTC 2026","","api/tests/example.spec.ts","",""
"","1953","seed using loginPage fixture","chromium","Mon Mar 30 20:44:57 UTC 2026","passed","Mon Mar 30 20:44:59 UTC 2026","seed for logged in user","ui/tests/seed.spec.ts","",""
"","0","Login tests","chromium","Mon Mar 30 20:44:59 UTC 2026","skipped","Mon Mar 30 20:44:59 UTC 2026","","ui/tests/testCases.spec.ts","",""
"","2607","should log out successfully","chromium","Mon Mar 30 20:44:54 UTC 2026","passed","Mon Mar 30 20:44:57 UTC 2026","Login Page Tests","ui/tests/loging.spec.ts","",""
