"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1244","Test Case 13: Verify Product quantity in Cart","chromium","Tue Apr 07 19:00:22 UTC 2026","passed","Tue Apr 07 19:00:23 UTC 2026","E2E Tests","ui/tests/E2E.spec.ts","",""
"","748","get started link","chromium","Tue Apr 07 19:00:21 UTC 2026","passed","Tue Apr 07 19:00:22 UTC 2026","","api/tests/example.spec.ts","",""
"","1122","Test Case 3: Login User with incorrect email and password:","chromium","Tue Apr 07 19:00:44 UTC 2026","passed","Tue Apr 07 19:00:45 UTC 2026","","ui/tests/loging.spec.ts","",""
"","1725","Test Case 25: Verify Scroll Up using 'Arrow' button and Scroll Down functionality:","chromium","Tue Apr 07 19:00:23 UTC 2026","passed","Tue Apr 07 19:00:25 UTC 2026","Home Page Tests.","ui/tests/home.spec.ts","",""
"","0","Login tests","chromium","Tue Apr 07 19:00:49 UTC 2026","skipped","Tue Apr 07 19:00:49 UTC 2026","","ui/tests/testCases.spec.ts","",""
"","18095","should log out successfully","chromium","Tue Apr 07 19:00:25 UTC 2026","passed","Tue Apr 07 19:00:44 UTC 2026","Login Page Tests","ui/tests/loging.spec.ts","",""
"","546","has title","chromium","Tue Apr 07 19:00:19 UTC 2026","passed","Tue Apr 07 19:00:20 UTC 2026","","api/tests/example.spec.ts","",""
"","1050","Test Case 5: Register User with existing email:","chromium","Tue Apr 07 19:00:48 UTC 2026","passed","Tue Apr 07 19:00:49 UTC 2026","","ui/tests/signup.spec.ts","",""
"","796","Test Case 26: Verify Scroll Up without 'Arrow' button and Scroll Down functionality","chromium","Tue Apr 07 19:00:25 UTC 2026","passed","Tue Apr 07 19:00:25 UTC 2026","Home Page Tests.","ui/tests/home.spec.ts","",""
"","3038","seed using loginPage fixture","chromium","Tue Apr 07 19:00:45 UTC 2026","passed","Tue Apr 07 19:00:48 UTC 2026","seed for logged in user","ui/tests/seed.spec.ts","",""
"","0","should submit the contact form successfully","chromium","Tue Apr 07 19:00:22 UTC 2026","skipped","Tue Apr 07 19:00:22 UTC 2026","Contact Us form tests","ui/tests/contactForm.spec.ts","",""
