"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1699","Test Case 17: Remove Products From Cart","chromium","Tue Apr 14 05:37:17 UTC 2026","passed","Tue Apr 14 05:37:19 UTC 2026","Cart Test Cases","ui/tests/cart.spec.ts","",""
"","815","get started link","chromium","Tue Apr 14 05:37:16 UTC 2026","passed","Tue Apr 14 05:37:17 UTC 2026","","api/tests/example.spec.ts","",""
"","2240","Test Case 5: Register User with existing email:","chromium","Tue Apr 14 05:37:33 UTC 2026","passed","Tue Apr 14 05:37:35 UTC 2026","","ui/tests/signup.spec.ts","",""
"","951","Test Case 26: Verify Scroll Up without 'Arrow' button and Scroll Down functionality","chromium","Tue Apr 14 05:37:23 UTC 2026","passed","Tue Apr 14 05:37:24 UTC 2026","Home Page Tests.","ui/tests/home.spec.ts","",""
"","3846","should log out successfully","chromium","Tue Apr 14 05:37:24 UTC 2026","passed","Tue Apr 14 05:37:28 UTC 2026","Login Page Tests","ui/tests/loging.spec.ts","",""
"","1951","Test Case 25: Verify Scroll Up using 'Arrow' button and Scroll Down functionality:","chromium","Tue Apr 14 05:37:21 UTC 2026","passed","Tue Apr 14 05:37:23 UTC 2026","Home Page Tests.","ui/tests/home.spec.ts","",""
"","757","has title","chromium","Tue Apr 14 05:37:14 UTC 2026","passed","Tue Apr 14 05:37:15 UTC 2026","","api/tests/example.spec.ts","",""
"","1979","Test Case 3: Login User with incorrect email and password:","chromium","Tue Apr 14 05:37:28 UTC 2026","passed","Tue Apr 14 05:37:30 UTC 2026","","ui/tests/loging.spec.ts","",""
"","2014","Test Case 13: Verify Product quantity in Cart","chromium","Tue Apr 14 05:37:19 UTC 2026","passed","Tue Apr 14 05:37:21 UTC 2026","E2E Tests","ui/tests/E2E.spec.ts","",""
"","0","should submit the contact form successfully","chromium","Tue Apr 14 05:37:19 UTC 2026","skipped","Tue Apr 14 05:37:19 UTC 2026","Contact Us form tests","ui/tests/contactForm.spec.ts","",""
"","3005","seed using loginPage fixture","chromium","Tue Apr 14 05:37:30 UTC 2026","passed","Tue Apr 14 05:37:33 UTC 2026","seed for logged in user","ui/tests/seed.spec.ts","",""
"","2352","TC8 - Verify All products and product details page","chromium","Tue Apr 14 05:37:35 UTC 2026","passed","Tue Apr 14 05:37:37 UTC 2026","Login tests","ui/tests/verifyPages.spec.ts","",""
"","0","TC7 - Verify Test Cases page","chromium","Tue Apr 14 05:37:35 UTC 2026","skipped","Tue Apr 14 05:37:35 UTC 2026","Login tests","ui/tests/verifyPages.spec.ts","",""
