"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","should submit the contact form successfully","chromium","Sat May 16 01:30:00 UTC 2026","skipped","Sat May 16 01:30:00 UTC 2026","Contact Us form tests","ui/tests/contactForm.spec.ts","",""
"","6767","Test Case 14: Place Order: Register while Checkout","chromium","Sat May 16 01:30:01 UTC 2026","passed","Sat May 16 01:30:08 UTC 2026","E2E Tests","ui/tests/E2E.spec.ts","",""
"","1788","seed using loginPage fixture","chromium","Sat May 16 01:30:17 UTC 2026","passed","Sat May 16 01:30:19 UTC 2026","seed for logged in user","ui/tests/seed.spec.ts","",""
"","2334","should log out successfully","chromium","Sat May 16 01:30:13 UTC 2026","passed","Sat May 16 01:30:15 UTC 2026","Login Page Tests","ui/tests/loging.spec.ts","",""
"","1342","Test Case 13: Verify Product quantity in Cart","chromium","Sat May 16 01:30:00 UTC 2026","passed","Sat May 16 01:30:01 UTC 2026","E2E Tests","ui/tests/E2E.spec.ts","",""
"","1635","Test Case 25: Verify Scroll Up using 'Arrow' button and Scroll Down functionality:","chromium","Sat May 16 01:30:08 UTC 2026","passed","Sat May 16 01:30:10 UTC 2026","Home Page Tests.","ui/tests/home.spec.ts","",""
"","1212","Test Case 17: Remove Products From Cart","chromium","Sat May 16 01:29:59 UTC 2026","passed","Sat May 16 01:30:00 UTC 2026","Cart Test Cases","ui/tests/cart.spec.ts","",""
"","0","TC7 - Verify Test Cases page","chromium","Sat May 16 01:30:20 UTC 2026","skipped","Sat May 16 01:30:20 UTC 2026","Login tests","ui/tests/verifyPages.spec.ts","",""
"","2060","TC8 - Verify All products and product details page","chromium","Sat May 16 01:30:20 UTC 2026","passed","Sat May 16 01:30:22 UTC 2026","Login tests","ui/tests/verifyPages.spec.ts","",""
"","659","get started link","chromium","Sat May 16 01:29:58 UTC 2026","passed","Sat May 16 01:29:59 UTC 2026","","api/tests/example.spec.ts","",""
"","1119","Test Case 3: Login User with incorrect email and password:","chromium","Sat May 16 01:30:16 UTC 2026","passed","Sat May 16 01:30:17 UTC 2026","","ui/tests/loging.spec.ts","",""
"","1030","Test Case 5: Register User with existing email:","chromium","Sat May 16 01:30:19 UTC 2026","passed","Sat May 16 01:30:20 UTC 2026","","ui/tests/signup.spec.ts","",""
"","750","Test Case 26: Verify Scroll Up without 'Arrow' button and Scroll Down functionality","chromium","Sat May 16 01:30:10 UTC 2026","passed","Sat May 16 01:30:10 UTC 2026","Home Page Tests.","ui/tests/home.spec.ts","",""
"","730","has title","chromium","Sat May 16 01:29:55 UTC 2026","passed","Sat May 16 01:29:56 UTC 2026","","api/tests/example.spec.ts","",""
