"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1732","Test Case 2: Login User with correct email and password","chromium","2026-09-05","passed","2026-09-05","","ui/tests/loging.spec.ts","",""
"","1151","Test Case 5: Register User with existing email:","chromium","2026-09-05","passed","2026-09-05","","ui/tests/signup.spec.ts","",""
"","1495","Test Case 13: Verify Product quantity in Cart","chromium","2026-09-05","passed","2026-09-05","E2E Tests","ui/tests/E2E.spec.ts","",""
"","1189","Test Case 3: Login User with incorrect email and password:","chromium","2026-09-05","passed","2026-09-05","","ui/tests/loging.spec.ts","",""
"","1414","Test Case 09: Search Product","chromium","2026-09-05","passed","2026-09-05","","ui/tests/productsPage.spec.ts","",""
"","7752","Test Case 14: Place Order: Register while Checkout","chromium","2026-09-05","passed","2026-09-05","E2E Tests","ui/tests/E2E.spec.ts","",""
"","2062","should log out successfully","chromium","2026-09-05","passed","2026-09-05","Login Page Tests","ui/tests/loging.spec.ts","",""
"","9445","Test Case 24: Download Invoice after purchase order","chromium","2026-09-05","passed","2026-09-05","E2E Tests","ui/tests/E2E.spec.ts","",""
"","2401","Test Case 8: Verify All products and product details page","chromium","2026-09-05","passed","2026-09-05","Products Page Tests","ui/tests/products.spec.ts","",""
"","646","has title","chromium","2026-09-05","passed","2026-09-05","","api/tests/example.spec.ts","",""
"","1367","Test Case 11: Verify Subscription in Cart page","chromium","2026-09-05","passed","2026-09-05","Cart Test Cases","ui/tests/cart.spec.ts","",""
"","1885","Test Case 21: Add review on product","chromium","2026-09-05","passed","2026-09-05","Product Details Page","ui/tests/productDetails.spec.ts","",""
"","3613","Test Case 1: Register User","chromium","2026-09-05","passed","2026-09-05","E2E Tests","ui/tests/E2E.spec.ts","",""
"","1811","Test Case 25: Verify Scroll Up using 'Arrow' button and Scroll Down functionality:","chromium","2026-09-05","passed","2026-09-05","Home Page Tests.","ui/tests/home.spec.ts","",""
"","2775","seed using loginPage fixture","chromium","2026-09-05","passed","2026-09-05","seed for logged in user","ui/tests/seed.spec.ts","",""
"","1615","Test Case 17: Remove Products From Cart","chromium","2026-09-05","passed","2026-09-05","Cart Test Cases","ui/tests/cart.spec.ts","",""
"","1","should submit the contact form successfully","chromium","2026-09-05","skipped","2026-09-05","Contact Us form tests","ui/tests/contactForm.spec.ts","",""
"","910","Test Case 26: Verify Scroll Up without 'Arrow' button and Scroll Down functionality","chromium","2026-09-05","passed","2026-09-05","Home Page Tests.","ui/tests/home.spec.ts","",""
"","0","TC7 - Verify Test Cases page","chromium","2026-09-05","skipped","2026-09-05","Login tests","ui/tests/testCases.spec.ts","",""
"","832","get started link","chromium","2026-09-05","passed","2026-09-05","","api/tests/example.spec.ts","",""
