"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1357","Test Case 09: Search Product","chromium","2026-06-04","passed","2026-06-04","","ui/tests/productsPage.spec.ts","",""
"","1501","Test Case 13: Verify Product quantity in Cart","chromium","2026-06-04","passed","2026-06-04","E2E Tests","ui/tests/E2E.spec.ts","",""
"","3204","TC8 - Verify All products and product details page","chromium","2026-06-04","passed","2026-06-04","Login tests","ui/tests/verifyPages.spec.ts","",""
"","837","Test Case 26: Verify Scroll Up without 'Arrow' button and Scroll Down functionality","chromium","2026-06-04","passed","2026-06-04","Home Page Tests.","ui/tests/home.spec.ts","",""
"","737","has title","chromium","2026-06-04","passed","2026-06-04","","api/tests/example.spec.ts","",""
"","715","get started link","chromium","2026-06-04","passed","2026-06-04","","api/tests/example.spec.ts","",""
"","1808","Test Case 25: Verify Scroll Up using 'Arrow' button and Scroll Down functionality:","chromium","2026-06-04","passed","2026-06-04","Home Page Tests.","ui/tests/home.spec.ts","",""
"","1160","Test Case 5: Register User with existing email:","chromium","2026-06-04","passed","2026-06-04","","ui/tests/signup.spec.ts","",""
"","1946","seed using loginPage fixture","chromium","2026-06-04","passed","2026-06-04","seed for logged in user","ui/tests/seed.spec.ts","",""
"","1212","Test Case 3: Login User with incorrect email and password:","chromium","2026-06-04","passed","2026-06-04","","ui/tests/loging.spec.ts","",""
"","6709","Test Case 14: Place Order: Register while Checkout","chromium","2026-06-04","passed","2026-06-04","E2E Tests","ui/tests/E2E.spec.ts","",""
"","0","TC7 - Verify Test Cases page","chromium","2026-06-04","skipped","2026-06-04","Login tests","ui/tests/verifyPages.spec.ts","",""
"","0","should submit the contact form successfully","chromium","2026-06-04","skipped","2026-06-04","Contact Us form tests","ui/tests/contactForm.spec.ts","",""
"","1826","should log out successfully","chromium","2026-06-04","passed","2026-06-04","Login Page Tests","ui/tests/loging.spec.ts","",""
"","1459","Test Case 17: Remove Products From Cart","chromium","2026-06-04","passed","2026-06-04","Cart Test Cases","ui/tests/cart.spec.ts","",""
