"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","718","get started link","chromium","2026-09-09","passed","2026-09-09","","api/tests/example.spec.ts","",""
"","2156","Test Case 21: Add review on product","chromium","2026-09-09","passed","2026-09-09","Product Details Page","ui/tests/productDetails.spec.ts","",""
"","1534","Test Case 5: Register User with existing email:","chromium","2026-09-09","passed","2026-09-09","","ui/tests/signup.spec.ts","",""
"","0","should submit the contact form successfully","chromium","2026-09-09","skipped","2026-09-09","Contact Us form tests","ui/tests/contactForm.spec.ts","",""
"","8322","Test Case 22: Add to cart from Recommended items","chromium","2026-09-09","passed","2026-09-09","Home Page Tests.","ui/tests/home.spec.ts","",""
"","2061","seed using loginPage fixture","chromium","2026-09-09","passed","2026-09-09","seed for logged in user","ui/tests/seed.spec.ts","",""
"","2809","should log out successfully","chromium","2026-09-09","passed","2026-09-09","Login Page Tests","ui/tests/loging.spec.ts","",""
"","1410","Test Case 3: Login User with incorrect email and password:","chromium","2026-09-09","passed","2026-09-09","","ui/tests/loging.spec.ts","",""
"","2030","Test Case 25: Verify Scroll Up using 'Arrow' button and Scroll Down functionality:","chromium","2026-09-09","passed","2026-09-09","Home Page Tests.","ui/tests/home.spec.ts","",""
"","1565","Test Case 09: Search Product","chromium","2026-09-09","passed","2026-09-09","","ui/tests/productsPage.spec.ts","",""
"","618","has title","chromium","2026-09-09","passed","2026-09-09","","api/tests/example.spec.ts","",""
"","1316","Test Case 11: Verify Subscription in Cart page","chromium","2026-09-09","passed","2026-09-09","Cart Test Cases","ui/tests/cart.spec.ts","",""
"","1701","Test Case 13: Verify Product quantity in Cart","chromium","2026-09-09","passed","2026-09-09","E2E Tests","ui/tests/E2E.spec.ts","",""
"","8392","Test Case 14: Place Order: Register while Checkout","chromium","2026-09-09","passed","2026-09-09","E2E Tests","ui/tests/E2E.spec.ts","",""
"","1664","Test Case 17: Remove Products From Cart","chromium","2026-09-09","passed","2026-09-09","Cart Test Cases","ui/tests/cart.spec.ts","",""
"","1894","Test Case 2: Login User with correct email and password","chromium","2026-09-09","passed","2026-09-09","","ui/tests/loging.spec.ts","",""
"","2349","Test Case 8: Verify All products and product details page","chromium","2026-09-09","passed","2026-09-09","Products Page Tests","ui/tests/products.spec.ts","",""
"","0","TC7 - Verify Test Cases page","chromium","2026-09-09","skipped","2026-09-09","Login tests","ui/tests/testCases.spec.ts","",""
"","3911","Test Case 1: Register User","chromium","2026-09-09","passed","2026-09-09","E2E Tests","ui/tests/E2E.spec.ts","",""
"","1054","Test Case 26: Verify Scroll Up without 'Arrow' button and Scroll Down functionality","chromium","2026-09-09","passed","2026-09-09","Home Page Tests.","ui/tests/home.spec.ts","",""
